IP地址, TCP延迟(ms), 下载速度(MB/s)
104.16.140.137, 2.01, 0.00
104.19.223.79, 2.08, 0.00
173.245.59.127, 2.33, 0.00
104.18.42.218, 1.92, 0.00
104.18.16.21, 1.95, 0.00
104.26.13.54, 2.11, 0.00
104.18.11.118, 2.20, 0.00
104.16.148.1, 2.28, 0.00
104.18.5.139, 2.29, 0.00
108.162.192.176, 1.46, 0.00
104.18.15.8, 1.55, 0.00
104.16.100.215, 1.72, 0.00
104.18.21.66, 1.80, 0.00
104.18.31.78, 1.93, 0.00
104.18.10.216, 1.95, 0.00
173.245.59.96, 1.98, 0.00
172.64.144.191, 2.19, 0.00
172.64.150.103, 1.70, 0.00
108.162.193.239, 1.94, 0.00
108.162.192.249, 2.25, 0.00
104.18.37.153, 1.83, 0.00
108.162.198.159, 1.77, 0.00
104.18.20.64, 1.78, 0.00
104.18.5.37, 1.77, 0.00
198.41.223.71, 1.94, 0.00
104.17.176.9, 1.62, 0.00
104.17.162.3, 1.76, 0.00
172.66.44.164, 1.90, 0.00
172.64.33.59, 1.96, 0.00
104.18.10.118, 2.15, 0.00
104.18.43.48, 2.22, 0.00
104.21.94.161, 1.54, 0.00
104.18.4.19, 1.45, 0.00
162.159.36.20, 1.57, 0.00
104.21.55.229, 1.62, 0.00
104.26.1.82, 1.86, 0.00
108.162.193.243, 1.92, 0.00
172.67.66.177, 1.94, 0.00
104.16.200.35, 1.95, 0.00
172.66.135.45, 1.97, 0.00
104.16.239.120, 1.98, 0.00
172.64.34.29, 1.98, 0.00
104.18.20.66, 2.02, 0.00
172.64.229.191, 2.08, 0.00
172.64.144.39, 2.13, 0.00
104.18.28.7, 2.25, 0.00
104.16.7.47, 2.26, 0.00
173.245.49.194, 2.26, 0.00
172.67.148.26, 1.61, 0.00
162.159.27.239, 1.62, 0.00
